,datetime,user,action,pc
0,2024-01-01 00:26:17,usr-ytk,login,pc34
1,2024-01-01 01:08:30,usr-ecc,login,pc59
2,2024-01-01 02:54:46,usr-pru,login,pc48
3,2024-01-01 03:08:23,usr-yih,login,pc90
4,2024-01-01 03:23:14,usr-hth,login,pc40
5,2024-01-01 03:37:32,usr-okv,login,pc54
6,2024-01-01 03:50:32,usr-ifd,login,pc82
7,2024-01-01 04:04:51,usr-ubt,login,pc5
8,2024-01-01 04:06:59,usr-mdm,login,pc28
9,2024-01-01 04:08:21,usr-zzy,login,pc78
10,2024-01-01 04:17:35,usr-inr,login,pc13
11,2024-01-01 04:24:55,usr-fjl,login,pc52
12,2024-01-01 05:03:47,usr-inx,login,pc67
13,2024-01-01 05:05:42,usr-dbq,login,pc44
14,2024-01-01 05:11:11,usr-avc,login,pc12
15,2024-01-01 05:15:23,usr-fta,login,pc7
16,2024-01-01 05:15:27,usr-kos,login,pc10
17,2024-01-01 05:30:36,usr-ntp,login,pc46
18,2024-01-01 05:36:59,usr-lxb,login,pc60
19,2024-01-01 05:38:24,usr-agf,login,pc31
20,2024-01-01 05:43:05,usr-pia,login,pc73
21,2024-01-01 05:46:23,usr-crz,login,pc4
22,2024-01-01 05:50:04,usr-fxu,login,pc41
23,2024-01-01 05:59:26,usr-jmc,login,pc17
24,2024-01-01 06:04:50,usr-syd,login,pc16
25,2024-01-01 06:07:48,usr-qpv,login,pc84
26,2024-01-01 06:08:15,usr-fdo,login,pc3
27,2024-01-01 06:09:17,usr-oph,login,pc76
28,2024-01-01 06:12:53,usr-gvm,login,pc42
29,2024-01-01 06:20:33,usr-hxw,login,pc45
30,2024-01-01 06:22:38,usr-wis,login,pc87
31,2024-01-01 06:22:47,usr-lrw,login,pc97
32,2024-01-01 06:24:43,usr-qhu,login,pc11
33,2024-01-01 06:29:48,usr-pcx,login,pc58
34,2024-01-01 06:31:51,usr-cwi,login,pc14
35,2024-01-01 06:36:59,usr-xye,login,pc27
36,2024-01-01 06:38:42,usr-ign,login,pc83
37,2024-01-01 06:41:22,usr-zsj,login,pc30
38,2024-01-01 06:45:33,usr-gai,login,pc29
39,2024-01-01 06:46:51,usr-pah,login,pc71
40,2024-01-01 06:49:08,usr-bpm,login,pc19
41,2024-01-01 07:16:21,usr-hta,login,pc9
42,2024-01-01 08:09:23,usr-ego,login,pc33
43,2024-01-01 08:15:35,usr-mfu,login,pc39
44,2024-01-01 08:24:40,usr-qsg,login,pc1
45,2024-01-01 08:29:39,usr-gyv,login,pc21
46,2024-01-01 08:44:13,usr-goq,login,pc26
47,2024-01-01 08:44:43,usr-xws,login,pc68
48,2024-01-01 08:54:51,usr-qty,login,pc98
49,2024-01-01 09:00:32,usr-lbw,login,pc81
50,2024-01-01 09:00:46,usr-dur,login,pc92
51,2024-01-01 09:01:28,usr-bat,login,pc57
52,2024-01-01 09:01:48,usr-wda,login,pc24
53,2024-01-01 09:02:34,usr-cjk,login,pc22
54,2024-01-01 09:06:30,usr-tcn,login,pc43
55,2024-01-01 09:07:01,usr-fxc,login,pc47
56,2024-01-01 09:08:44,usr-noh,login,pc51
57,2024-01-01 09:09:45,usr-zpf,login,pc25
58,2024-01-01 09:10:01,usr-klc,login,pc62
59,2024-01-01 09:14:01,usr-oux,login,pc6
60,2024-01-01 09:14:24,usr-emo,login,pc89
61,2024-01-01 09:16:07,usr-zbu,login,pc91
62,2024-01-01 09:16:26,usr-nyd,login,pc23
63,2024-01-01 09:16:38,usr-mcc,login,pc35
64,2024-01-01 09:20:11,usr-qse,login,pc55
65,2024-01-01 09:20:15,usr-hqj,login,pc15
66,2024-01-01 09:20:55,usr-tok,login,pc85
67,2024-01-01 09:23:42,usr-sps,login,pc38
68,2024-01-01 09:27:11,usr-mms,login,pc65
69,2024-01-01 09:27:47,usr-vig,login,pc77
70,2024-01-01 09:28:18,usr-vag,login,pc18
71,2024-01-01 09:28:22,usr-qaj,login,pc70
72,2024-01-01 09:31:28,usr-fyk,login,pc75
73,2024-01-01 09:32:22,usr-zwh,login,pc99
74,2024-01-01 09:32:37,usr-bit,login,pc86
75,2024-01-01 09:33:23,usr-ccc,login,pc66
76,2024-01-01 09:36:53,usr-xxw,login,pc61
77,2024-01-01 09:40:33,usr-uzs,login,pc88
78,2024-01-01 09:40:37,usr-apl,login,pc56
79,2024-01-01 09:42:37,usr-tus,login,pc32
80,2024-01-01 09:42:58,usr-kge,login,pc80
81,2024-01-01 09:43:00,usr-evt,login,pc74
82,2024-01-01 09:43:15,usr-ecl,login,pc53
83,2024-01-01 09:44:35,usr-psa,login,pc64
84,2024-01-01 09:45:26,usr-qpu,login,pc2
85,2024-01-01 09:48:31,usr-gpi,login,pc94
86,2024-01-01 09:49:30,usr-gmh,login,pc79
87,2024-01-01 09:50:10,usr-suh,login,pc36
88,2024-01-01 09:53:12,usr-bfh,login,pc96
89,2024-01-01 09:54:21,usr-cnz,login,pc63
90,2024-01-01 09:54:37,usr-gxa,login,pc50
91,2024-01-01 09:55:00,usr-tci,login,pc49
92,2024-01-01 09:57:54,usr-dpy,login,pc72
93,2024-01-01 09:58:04,usr-cbb,login,pc8
94,2024-01-01 09:59:29,usr-zlc,login,pc93
95,2024-01-01 11:24:08,usr-ory,login,pc0
96,2024-01-01 11:32:43,usr-orc,login,pc69
97,2024-01-01 12:15:46,usr-ayp,login,pc95
98,2024-01-01 12:35:03,usr-llt,login,pc37
99,2024-01-01 12:58:56,usr-mnc,login,pc20
100,2024-01-01 14:01:11,usr-gyv,logoff,pc21
101,2024-01-01 14:07:25,usr-evt,logoff,pc74
102,2024-01-01 14:08:08,usr-goq,logoff,pc26
103,2024-01-01 14:16:04,usr-bfh,logoff,pc96
104,2024-01-01 14:29:52,usr-yih,logoff,pc90
105,2024-01-01 14:46:51,usr-tci,logoff,pc49
106,2024-01-01 14:54:10,usr-vag,logoff,pc18
107,2024-01-01 15:06:24,usr-zsj,logoff,pc30
108,2024-01-01 15:07:15,usr-ego,logoff,pc33
109,2024-01-01 15:11:21,usr-inr,logoff,pc13
110,2024-01-01 15:15:49,usr-gai,logoff,pc29
111,2024-01-01 15:24:15,usr-cbb,logoff,pc8
112,2024-01-01 15:25:15,usr-dbq,logoff,pc44
113,2024-01-01 15:27:00,usr-lxb,logoff,pc60
114,2024-01-01 15:33:36,usr-mfu,logoff,pc39
