,datetime,user,action,pc
0,2024-01-01 04:13:55.413921,usr-zzy,usb_insert,pc78
1,2024-01-01 04:25:05.307745,usr-zzy,usb_remove,pc78
2,2024-01-01 04:36:11.695219,usr-mdm,usb_insert,pc28
3,2024-01-01 04:56:52.173345,usr-zzy,usb_insert,pc78
4,2024-01-01 04:59:48.626753,usr-ubt,usb_insert,pc5
5,2024-01-01 05:06:08.593606,usr-inr,usb_insert,pc13
6,2024-01-01 05:15:45.621989,usr-ubt,usb_remove,pc5
7,2024-01-01 05:21:31.861650,usr-mdm,usb_remove,pc28
8,2024-01-01 05:23:48.983648,usr-zzy,usb_insert,pc78
9,2024-01-01 05:37:57.583648,usr-ntp,usb_insert,pc46
10,2024-01-01 05:45:47.257507,usr-inx,usb_insert,pc67
11,2024-01-01 05:47:17.117957,usr-zzy,usb_remove,pc78
12,2024-01-01 05:50:02.868755,usr-inr,usb_remove,pc13
13,2024-01-01 05:59:10.847093,usr-zzy,usb_remove,pc78
14,2024-01-01 06:04:53.521486,usr-mdm,usb_insert,pc28
15,2024-01-01 06:13:57.725242,usr-ntp,usb_remove,pc46
16,2024-01-01 06:16:02.004902,usr-fxu,usb_insert,pc41
17,2024-01-01 06:17:11.352037,usr-inx,usb_remove,pc67
18,2024-01-01 06:24:18.878352,usr-ntp,usb_insert,pc46
19,2024-01-01 06:33:00.921606,usr-mdm,usb_remove,pc28
20,2024-01-01 06:41:41.568588,usr-dbq,usb_insert,pc44
21,2024-01-01 06:41:45.467200,usr-ntp,usb_remove,pc46
22,2024-01-01 06:43:05.991986,usr-fdo,usb_insert,pc3
23,2024-01-01 06:47:13.822518,usr-dbq,usb_remove,pc44
24,2024-01-01 06:53:25.219583,usr-fxu,usb_remove,pc41
25,2024-01-01 06:58:10.990931,usr-cwi,usb_insert,pc14
26,2024-01-01 07:01:28.399247,usr-oph,usb_insert,pc76
27,2024-01-01 07:08:29.674937,usr-cwi,usb_remove,pc14
28,2024-01-01 07:10:06.298077,usr-gai,usb_insert,pc29
29,2024-01-01 07:16:25.692664,usr-pia,usb_insert,pc73
30,2024-01-01 07:18:54.573612,usr-fdo,usb_remove,pc3
31,2024-01-01 07:24:53.290290,usr-crz,usb_insert,pc4
32,2024-01-01 07:25:14.905833,usr-oph,usb_remove,pc76
33,2024-01-01 07:33:09.478309,usr-xye,usb_insert,pc27
34,2024-01-01 07:40:36.247606,usr-syd,usb_insert,pc16
35,2024-01-01 07:49:26.943699,usr-oph,usb_insert,pc76
36,2024-01-01 07:49:42.677346,usr-syd,usb_insert,pc16
37,2024-01-01 07:55:10.219805,usr-pia,usb_remove,pc73
38,2024-01-01 07:59:31.083653,usr-cwi,usb_insert,pc14
39,2024-01-01 08:02:27.610447,usr-gvm,usb_insert,pc42
40,2024-01-01 08:02:58.305018,usr-crz,usb_remove,pc4
41,2024-01-01 08:04:38.068412,usr-pah,usb_insert,pc71
42,2024-01-01 08:07:40.281907,usr-cwi,usb_remove,pc14
43,2024-01-01 08:07:52.494462,usr-gai,usb_remove,pc29
44,2024-01-01 08:12:25.793766,usr-pah,usb_remove,pc71
45,2024-01-01 08:13:35.787282,usr-lrw,usb_insert,pc97
46,2024-01-01 08:15:25.504524,usr-qhu,usb_insert,pc11
47,2024-01-01 08:15:58.636491,usr-pia,usb_insert,pc73
48,2024-01-01 08:17:51.055075,usr-syd,usb_remove,pc16
49,2024-01-01 08:20:35.694300,usr-wis,usb_insert,pc87
50,2024-01-01 08:21:18.736094,usr-pia,usb_remove,pc73
51,2024-01-01 08:21:32.183183,usr-syd,usb_remove,pc16
52,2024-01-01 08:27:27.493287,usr-qhu,usb_remove,pc11
53,2024-01-01 08:30:03.866930,usr-xye,usb_remove,pc27
54,2024-01-01 08:33:58.098516,usr-wis,usb_remove,pc87
55,2024-01-01 08:36:14.503670,usr-gvm,usb_remove,pc42
56,2024-01-01 08:36:35.128846,usr-lrw,usb_remove,pc97
57,2024-01-01 08:37:59.002491,usr-fdo,usb_insert,pc3
58,2024-01-01 08:39:03.041750,usr-fdo,usb_remove,pc3
59,2024-01-01 08:46:18.412218,usr-lrw,usb_insert,pc97
60,2024-01-01 08:47:10.103828,usr-oph,usb_remove,pc76
61,2024-01-01 08:48:54.010016,usr-inx,usb_insert,pc67
62,2024-01-01 08:52:48.347434,usr-xye,usb_insert,pc27
63,2024-01-01 08:53:00.229295,usr-ubt,usb_insert,pc5
64,2024-01-01 08:56:04.924850,usr-wis,usb_insert,pc87
65,2024-01-01 08:58:15.049676,usr-pah,usb_insert,pc71
66,2024-01-01 09:01:44.677828,usr-xye,usb_remove,pc27
67,2024-01-01 09:03:05.504269,usr-inx,usb_insert,pc67
68,2024-01-01 09:08:33.381524,usr-inx,usb_remove,pc67
69,2024-01-01 09:08:46.372747,usr-inx,usb_remove,pc67
70,2024-01-01 09:11:10.998995,usr-qhu,usb_insert,pc11
71,2024-01-01 09:18:34.189176,usr-agf,usb_insert,pc31
72,2024-01-01 09:25:56.540859,usr-xye,usb_insert,pc27
73,2024-01-01 09:27:07.362371,usr-wis,usb_remove,pc87
74,2024-01-01 09:29:46.071616,usr-ubt,usb_remove,pc5
75,2024-01-01 09:30:18.130464,usr-agf,usb_remove,pc31
76,2024-01-01 09:31:36.347613,usr-fyk,usb_insert,pc75
